text,label
Apercevant Madame La Ressource.,0
Célestine l'embrasse.,6
Il appelle violemment :,3
Aux juges.,12
À Gilles.,12
Apercevant Dame Gigogne.,0
Entrée de Paysans.,4
Il va pour sortir et se livrer.,7
Il va fermer soigneusement la porte.,10
Ils se mettent tous à genoux.,0
Air Béarnais.,8
AIR 41. ( Que je regrette mon amant. ),8
Tous se mettent à genoux.,0
"À ces mots la porte s'ouvre, puis se ferme et Maurice reste dans la rue. Quand son amie est là, il l'aime sans pouvoir préciser de quelle sorte d'amour. Il la voit de trop près, et se cogne, aveuglé, contre elle. Mais quand elle n'est pas là, il sait comment il l'aime. Il meut, à sa volonté, l'image nette et pleine de Blanche qui, docile, recule, avance, et tourne, et luit d'un tel éclat que murs et trottoirs s'en illuminent. Tandis qu'il s'éloigne, Blanche, qui glisse à son côté, embellit, devient meilleure et plus tendre. Ses yeux ne regardent que lui. Elle lui parle sans cesse, avec des mots également sonores, dont aucun ne choque, et ses lèvres ne font que sourire. Pourtant, malgré le plaisir de goûter seul son sentiment, d'en jouir avec égoïsme, Maurice préférerait que son amie fût toujours là, à cause des légers profits.",9
Aux domestiques.,12
Iole se retire.,7
"Au lever du rideau, les quatre personnages sont -assis dans un petit salon. Ils viennent de déjeuner, et paraissent un peu accablés.",11
Air : Sous le nom de l'Amitié.,8
"Après cent lignes de cette force, Alexandre Dumas père ôte sa cravate ; après deux cents lignes, il ôte ses bottes. Quand l'article est fini, il n'a plus rien à ôter. Alors il sonne son domestique. - Domingo parait.",9
Air : De l'Opéra-comique.,8
Orgon se rapproche.,7
On entend la sonnette de la boutique. La pendule sonne neuf heures.,0
Air : J'ai perdu mon âme.,8
Le ministre revient de leur côté.,7
Lui montrant Clytie.,0
"Il s'avance vers l'un des ouvriers qui clouent les tentures, lui tape sur le ventre et ricanent en clignant de l'oeil.",7
Des licteurs la soutiennent.,6
AIR. Confiteor.,8
Elle dit ces deux vers comme en elle-même.,2
Nicole lui pousse plusieurs coups.,1
La Prêtresse sort.,5
Il s'en va avec son laquais.,5
À Monsieur Garant.,12
La symphonie recommence.,8
CHRIS[T] promis.,8
Joyeusement.,3
Il s'assied dans un coin et lit un journal.,0
Le lui donnant.,10
Mezzetin sort.,5
À Elpénor.,12
Le théâtre représente le carrefour du Beau-Richard à Chateau-Thierry.,11
Lyrique :,3
"Il fait signe à des paysans qui s'avancent, et qui forment un berceau composé de dix figures isolées en forme de termes de bronze doré, cinq de chaque côté, l'une d'homme, et l'autre de Femme, tenant chacune en l'une de leurs mains un bassin de porcelaine rempli de toute sorte de fruits en pyramide. Ces figures depuis la ceinture, se terminent en gaines, et ces gaines sont environnées de pampres de vigne chargés de raisins. Chaque figure est portée sur son piédestal de marbre d'Orient, où il y a de petites consoles dans les saillies qui soutiennent des porcelaines de différentes manières, remplies de pyramides de fruits aussi beaux que les autres. Du milieu de ces consoles pendent des festons de fleurs. Toutes les figures de ce berceau portent sur leurs têtes de grands vases de porcelaine qu'elles soutiennent d'une main et qui sont remplis en confusion de fleurs naturelles. Les cintres naissent de ces fleurs, et ornent des Figures cintrées de différentes manières de verdure coupée, d'où pendent des festons de fleurs, et de toile d'or. L'optique de ce berceau où devrait être un buffet, est d'une manière toute extraordinaire. On y voit plusieurs degrés de gazon, et sur le plus élevé paraît un Bacchus tenant d'une main un vase d'or, et de l'autre une coupe. Il est environné de plusieurs vases d'or et d'argent. La Déesse des fruits est à son aile droite, et à sa gauche Cérès tient dans une corbeille ce qui est de son ministère. Flore est un peu plus bas. On voit à ses côtés de grandes corbeilles de fleurs, et comme elle en tient encore beaucoup, on connaît qu'elle en couvre tout le gazon qui l'environne ; ce qui se remarque par celles qui sont déjà sur ce gazon. Au-dessous de Flore on voit l'Abondance avec deux cornets qu'elle vide dans deux corbeilles que tiennent deux Satyres qui sont sur un degré plus bas, à demi courbés, et en posture de Gens qui reçoivent. Entre toutes ces figures paraissent Pan et Sylvain, accompagnés d'Orphée qui tient son Luth, et les deux autres des flûtes. Le tout est fini par un degré de gazon, aux deux bouts duquel il y a deux scabellons fort riches ; et portant chacun un grand vase d'or ; de sorte que sans avoir dressé un Buffet de la manière ordinaire, on en voit paraître un beaucoup plus beau ; et auquel il ne manque rien, puisque Bacchus et Cérès y apportent ce qu'on peut attendre d'eux, et que Flore elle-même prend soin de le venir orner.",9
Le voyant écrire.,0
Il affecte un grand éclat de rire.,3
"Le théâtre représente la nef d'une église : La porte ouverte laisse voir au fond du théâtre une place publique, au milieu de laquelle est un échafaud. Sur un des côtés du théâtre il y a un autel éclairé par des cierges : un glaive et un bandeau sont posés sur l'autel. Des chapelles font autour de la nef.",11
Leur montrant Oreste.,0
Il se jette aux pieds d'Ariston.,0
Air : Nous nous marierons dimanche.,8
Il la pousse rudement.,6
On entend frapper de grands coups à la porte de devant.,0
On entend un bruit de pas.,0
À Fanie.,12
Le théâtre représente le Palais de Médée.,11
Cassandre lit.,0
Il se met dans un fauteuil.,0
CONTRE-DANSE.,8
Le conduisant à la porte.,7
Elle tombe.,0
Il fait le geste d'ôter son chapeau.,10
Nymphes.,8
Le choeur répète ces quatre vers.,3
Ici on emmène Fablenville.,6
Les Villageois s'éloignent.,7
Coelio sort.,5
À Beuglan.,12
Air : Chacun à son tour.,8
Il sort par la gauche.,5
"Gomez entre, suivi de deux valets portant une table toute servie.",4
Il montre un dindon qu'il porte sur le poing.,0
Air : Des trembleurs.,8
Air 35 : Menuet de M. de Grandval.,8
Il continue d'écrire.,0
"Il s'approche du clavecin, et commence un air fort gai.",7
Arlequin derrière le lit.,12
"Roquespine va charger Filipin, et se retire en son poste.",1
Parlant à Cléante et à Damis.,12
"AIR : Quoi, ma voisine, es-tu fâchée ?",8
Elles s'embrassent.,6
À l'Indien.,12
Antistrophe I.,8
Le Théâtre représente les Tuileries.,11
Air Le Démon malicieux et fin.,8
"AIR : Oh ! Mahomet, ton Paradis des femmes.",8
AIR. Voyez-vous.,8
À madame Robert.,12
"Le Théâtre représente un salon de campagne. Une porte vitrée laisse voir le jardin. Sur le devant de la scène est un chevalet avec le portrait de Molière, une table et un violon.",11
"Apollon entonne lugubrement l'Air des Pendus : ""Or, écoutez, petits et grands..."".",3
En scène.,4
Marton donne la clef.,10
Elle s'adresse à la Lune.,12
Ils cherchent tous quatre à terre.,0
"Cucumane remet un bouton. Caquire croit qu'il se déculotte , et tourne la tête.",10
À Pembrock.,12
Second Air.,8
Le Roi paraît suivi de Lisidas et Lisanor.,4
"Haut, continuant.",3
Tirant de nouveau son portefeuille.,10
Il crie de toutes ses forces.,3
LETTRE DU ROI.,8
Illo sort.,5
À Jodelet.,12
AIR. De s'engager il n'est que trop facile.,8
CARTEL.,8
PRÉFACE.,8
À Eutrope.,12
"Les prêtresses commencent le ballet, seules, et font l'exercice du godmiché ; elles sont interrompues par les guerriers, qui forment avec elles les trente-deux postures de l'Arétin, et le pas de deux de la viole d'amour.",9
(Passant au n° 1),11
Nanon sanglote dans son tablier.,3
"Miris, Alcipe et Orphise se parlent bas.",3
Il frappe son chapeau sur un meuble.,1
Germain se montre.,0
Air : Je n'aimais pas le tabac beaucoup.,8
"Corbineli transpose l'échelle d'un côté et d'autre avec tant d'adresse, que Paquier faisant aller sa main à droite et à gauche, frappe toujours un des côtés de l'échelle sans trouver d'échelons.",9
Momus met le casque sur sa tête.,10
Elle ouvre le carton et en tire les dentelles.,0
Il est tout habillé en-dessous et passe tranquillement son habit.,10
Air : Mon joli petit etc.,8
À Électus.,12
Il déchire son papier.,10
On entend un bruit confus qui se rapproche peu à peu.,9
"Air : Dans le fleuve d'oubli, biribi, je veux boire.",8
Elle lui rend le poignard.,10
Crinise et Alphée répètent ensemble ces deux derniers vers.,3
Air : Que ne suis-je la jonquille ! ou l'Amant frivole.,8
Marinette pleure aussi.,3
Elle le relève.,0
Elle lui prend les mains.,6
AIR : Je suis un bon Jardinier.,8
Il se reprend.,3
"AIR. Silvie, j'ai vu vos beaux yeux.",8
Le théâtre représente un cabinet du palais.,11
À Clarin.,12
Puis se retirant.,7
Il retombe.,0
Il regarde un portrait de Marguerite.,0
Elle dit haut.,3
Vers chantés.,3
"Madame de Furville doit être mise en ouvrière à la journée, moins bien que Madame Leblanc.",10
Air : Ô ma chère Musette.,8
À Procida.,12
"Médée prend du poison dans la chaudière, et le répand sur la robe.",10
"Air : La voici, tôt décampons.",8
Musique de M. Génot.,8
AIR. J'ai un coquin de frère.,8
À Enarus.,12
Aux licteurs.,12
Il le tire.,6
Corine s'éloigne.,7
Ils sortent tous deux.,5
Montrant son sceptre.,0
Air : Par sa légèreté.,8
Le théâtre représente la galerie d'un Palais.,11
Madame de Valdaunaie se place entre eux.,11
Il pose le pot-à-l'eau.,10
À Lorédan qui veut l'interrompre.,12
Elle lève les yeux et regarde de nouveau le portrait.,0
La Presse ajoute encore quatre ducats.,10
Il lui donne le Portrait qu'il a reçu d'Arsinoé.,10
Il montre le Public.,0
"Air : Réveillez-vous, [belle endormie]",8
Air : De l'enfantine.,8
Elle se frappe.,1
Le Théâtre représente les avenues du Palais de Pluton.,11
"Puisque l'Amour (quoiqu'il soit aveugle) les faits connaître à Ritiger par leur parole et leur beauté : Cette surprise après une funeste et pitoyable dispute, le met dans le désespoir,",9
Elle prend sa fille à part.,6
"Elle lui présente les clefs de la Ville, et la Duchesse.",10
Il veut l'embrasser.,6
Il regarde encore dans le miroir et n'y voyant plus Violette.,0
Elle chante en jouant des gobelets.,3
En sanglotant.,3
Le mousse sort vite et revient immédiatement les bras chargés.,5
AIR. Le fameux Diogène.,8
Montrant les Osages.,0
À mademoiselle Dupont.,12
Laforêt s'approche.,7
En lui jetant le poignard.,10
Montrant Palmyras.,0
Il entrouvre la porte.,0
Apercevant la tache.,0
Gilles reste dans un coin.,11
"Les ministres du Temps, le Repentir, les Réflexions, les Vents détruisent le palais ; le trône s'en va enfumée ; les ailes du théâtre s'évanouissent et ne laissent plus voir que des ruines ; les nuages dorés tombent en pluie ; les Désirs, l'Espérance, les Songes, tout s'envole ; le Temps reste seul avec la Déesse et les Peuples.",11
On empile les Nobles dans la trappe.,6
À Rhodope.,12
Sardarigue s'en va.,5
Il ôte le cachet.,0
Air : La rose et le bouton.,8
Elle le tire de son sein.,0
Regard aux horloges.,0
Trivelin rit.,3
Air : Quelques-uns prirent le cochon.,8
AIR,8
Elle cherche dans un meuble.,0
AIR 57. ( Perrette étant dessus l'herbette. ),8
Riant à demi voix.,3
Air : Des femmes et le secret.,8
Air : Je ne suis pas si diable.,8
Henri Bassou entre.,4
Isabelle rentre.,4
À Des Las Casas.,12
"Il tire Célinde à part, et dès lors ils s'entretiennent séparément.",7
À Grégoire.,12
AIR : Au coin du feu.,8
Pesant la bourse.,0
"Elle sort, emportant les manteaux et les chapeaux.",5
Il accroche le portrait au-dessus du buffet.,10
"Le Théatre représente une épaisse forêt, où ces chutes d'eaux coulent entre les arbres : on voit dans l'enfoncement deux montagnes séparées par une belle vallée où tombe une rivière par diverses cascades qui produisent plusieurs effets agréables et différents.",11
Il leur présente un petit sac de cuir.,0
Montrant les soldats.,0
Suite de l'air.,8
En lui offrant de l'argent.,10
"AIR. (Tes beaux yeux, ma Nicole.)",8
Guillot et Pierrot sortent.,5
Parlant à Gilles.,12
Il lui montre son tableau.,0
À la Présidente.,12
À Lyconide.,12
Elle regarde à la porte du fond.,0
Les larmes aux yeux.,3
Ils lui tendent chacun un papier.,10
Il examine ses ongles.,0
Prenant à témoin les portraits des Présidents de la République.,8
Air : Mais comment ses yeux font humides.,8
Deuxième lame embarque.,9
Il avance la main.,7
Parcourant la chambre du regard.,0
À Alice.,12
AIR : Vaudeville des Chasseurs.,8
Ils mangent tous les deux.,0
"Air : Ah ! Maman, que je l'échappai belle !",8
"Il déroule, et ne trouve rien.",0
AIR : Ô gué lon la bergère,8
À Flavie.,12
La scène est à Paris de nos jours ; un salon cossu du seizième arrondissement.,11
"Il donne un coup, et Corbineli le lui rend.",1
Cliton rentre.,4
"Aux trois frères, en les poussant dehors.",12
À Neptune.,12
Ils se lèvent et descendent la scène.,11
Au bijoutier.,12
Air. Les Pèlerins de Saint Jacques.,8
Montrant Louisette.,0
À son dils.,12
Elle se range près de Madame Almaviva.,7
À Dalila.,12
Elle ôte une bague de son doigt.,10
"Une vallée, un couvent dans le fond.",11
Il veut se frapper d'un poignard.,1
On entend la voix de Valentine dans les coulisses.,0
En fixant Philippe d'Orléans.,0
Fuyant.,5
Au Paysan.,12
La secouant.,6
Les ombres des anciens héros paraissent.,4
Dimas se retire.,5
Baisant la main de Madame Milville.,6
Pendant que Miss Jackson la coiffe.,10
Il ouvre la fenêtre.,0
Air : Lubin a la préférence.,8
"Ragueneau porte une manne sur la tête. La manne contient des assiettes, couverts, pâtés, etc.",10
II COUPLET.,8
Elle jette le dessin.,10
AIR : de la Croisée.,8
Cécile et Babet continuent de rire.,3
Le Roi sort.,5
Air : Vaudeville d'Abuzar.,8
Amilaré chante.,3
Lénine part.,5
Mezzetin lui donne le linge.,10
Léandre ôte le gant qu'il avait.,10
Sort Commercy.,5
Elle lit.,0
Marcus sort.,5
Le Théâtre représente un Village.,11
Il les lui remet.,10
"Fin de l'Air... Il faut que je file, fils.",8
La scène [est] auprès de Londres.,11
Victoire sort par la garde-robe.,5
La Rosée entre.,4
Ils s'approchent.,7
Il passe aux autres.,12
À Canchon.,12
"Il va chercher un pot, etc.",10
Ils se veulent battre.,1
Elle se remet à lire.,0
Nigaudin sort.,5
Elle paraît et sort du lieu où elle s'était cachée.,7
Passe un officier allemand.,4
À Melpomène.,12
Elle va au fond à la servante.,11
Apercevant lsabelle.,0
"Air Noté, N°2.",8
"Le théâtre représente une des salles de l'appartement du roi dans la tour du Temple. On voit d'un côté, la porte d'un cabinet ; sur le devant de la scène sont des fauteuils, et une table sur laquelle est un globe.",11
"Forestan s'approche d'une Fontaine qui paraît au milieu du théâtre, et dans le moment qu'il se baisse pour le regarder dans l'eau, il en sort deux sirènes qui lui présentent un grand miroir. Forestan s'y voit aussi laid qu'il était avant la cérémonie magique ; et dans la rage qu'il a de la tromperie qu'on lui a faite, il veut frapper de sa massue les deux sirènes qui se moquent de lui, mais elles évitent ses coups, en se plongeant et en se perdant dans la Fontaine, qui disparaît en un moment.",9
Elle laisse choir son écharpe de son bras.,10
"AIR. Ô pierre, ô pierre !",8
Il se met à terre et commence à manger les macarons d'une manière toute comique.,0
Ils continuent jusqu'à ce que Gilles les interroge.,3
AIR A DANSER.,8
Air 114. Je passe la nuit et le jour.,8
À l'Élu.,12
Sa voix s'affaiblit.,3
Continuant de lire.,0
Le Docteur s'enfuit.,5
Fin de l'AIR. (J'entends le moulin taqueter. ),8
Phaedime sort.,5
Celle prend les cartes et sépare les jeux pour le vingt-et-un.,10
Air : L'autre nuit j'aperçus en songe.,8
"AIR. Eh ! Fi donc, Madame, on va vous surprendre.",8
Mathilde sort.,5
AIR : Grimaudin.,8
Il montre le testament de César.,0
Il cherche dans le jardin.,0
Accord.,8
"En disant le dernier vers, il embrasse Valcour.",6
On entend des violons.,8
"Un jardin. - Clair de lune ; un pavillon dans le fond, un autre sur le devant.",11
"Eudoxe paraît, comme pour voir ce qui se passe, et rentre d'abord.",4
Il se met à genoux devant Ali.,0
Air 164 : Les Cordons-bleus.,8
S'adressant à la Marquise.,12
AIR : Je veux une robe.,8
"Une place publique où aboutissent plusieurs rues. D'un coté, la boutique de Crêpon avec un étalage vide ; de l'autre, l'échoppe de Janrad, écrivain public.",11
"[Ostorius continue en aparté, en pensant à Sarcide].",2
AIR 116. ( Un certain je ne sais qu'est-ce. },8
À Chapelle.,12
Florise et Astérie sortent.,5
Flaminia sort.,5
L'orchestre joue le sommeil d'Amadis.,8
Il tire un poignard pour lui planter dans le sein.,1
Air : Plus les amants vivront.,8
À Cassandre.,12
Il se couvre de la peau.,10
Elle le laisse envoler.,10
Air : De mes moutons le nombre augmente.,8
On lui aide à marcher pendant qu'elle dit ce dernier vers.,6
AIR 105. ( Nos plaisirs seront peu durables. ),8
Au petit Blandineau.,12
"Tandis que Lismor et les siens tirent leurs poignards, d'autres conjurés sont en foule à la porte du parquet, ils attaquent les sentinelles et se jettent sur elles.",1
Il lui donne un crayon.,10
Le théâtre représente la salle des Mal-Assortis.,11
"Air 47 : Robin, turelure lure.",8
Aux lutins.,12
Elle dit seule.,2
"Le théâtre représente un salon de compagnie, où se trouvent des sièges, un canapé, un métier de tapisserie, des tables de jeu, des livres de musique, une guitare, etc.",11
"Indiquant le fond, à gauche.",0
Le théâtre représente une jolie salle à manger.,11
Hymne au Soleil.,8
Les trois sortent.,5
Il le prend.,10
Air : M. le Prévôt des marchands.,8
Quatrième entrée.,8
Madame Géralde et Célestine sortent.,5
Regardant l'Avocat Général dans les yeux.,0
Exit le gendarme.,5
Montrant le confessionnal.,0
Abordant Orismond.,12
Première entrée de ballet : Neptune et six dieux marins.,4
Dorimène sort.,5
Charles sort.,5
Il tire des lettres de dessous sa robe.,10
Il lui donne des coups de plat d'épée.,1
Après un court silence.,3
"À Zérónès, après avoir lu.",12
[ENSEMBLE],3
Il dit ce vers tout bas.,3
Air : Robin turelure.,8
Montrant l'Échanson.,0
Il présente son bras à Magnus.,0
Il la quitte.,5
Air de la valse de Robin des Bois.,8
AIR : Aussitôt que la lumière.,8
Au théâtre du Palais-Royal. Le foyer des acteurs.,11
"Pluton et Proserpine font apporter une table bien servie pour régaler le Chinois : ils se mettent à table, Arlequin et Scaramouche aussi : lorsqu'ils sont prêts à manger, la table s'enlève, et il paraît plusieurs monstres affreux qui épouvantent Arlequin et Scaramouche. Quatre Furies font une entrée, et ensuite ils font voir ce que l'on prépare pour le souper de Pluton. Il se forme sur le champ une cheminée ; on découvre plusieurs petits Diablotins qui tournent à la broche un homme d'affaire, les quatre danseurs en prennent chacun un membre, et le présentent à Arlequin et à Scaramouche qui s'enfuient a la vue de ce spectacle. Pluton fait revenir Arlequin et lui vend sa femme Colombine, ensuite il montre un couplet.",9
Entre Corsi.,4
Il lit bas.,0
Trio.,3
Le Chevalier prend le papier.,10
Achate sort.,5
Air : J'ai fait à ma maîtresse.,8
Il lui offre l'écrin destiné à Madame_Dupré.,10
Elle s'approche de la table.,7
À Kerkabon.,12
Air du Vaudeville du Panorama.,8
Marie s'éloigne ; Vigneron se lève avec effort : il est pris d'un demi-étourdissement et fait quelques pas mal assurés.,7
Ils parlent ensemble tout bas.,3
Elle indique Josépha.,0
Avec son bâton il frappe sur la calaretière et sur le juge.,1
Le théâtre représente la fontaine de la Vérité d'amour dans une forêt agréable.,11
Il aperçoit la lyre.,0
Il relève son pantalon.,10
Armande sort.,5
Il s'écarte.,7
Aux Commissaires.,12
Il lui présente la lettre.,10
À Taxe.,12
IIs boivent.,0
Isabelle et Colombine ensemble.,3
"AIR. Des Fleurettes, etc.",8
Air : Du Précepteur d'Amour...,8
À l'impératrice.,12
Apercevant que c'est l'Anneau d'Olimpie.,0
Il ferme la porte au verrou.,10
Le Ver luisant passe à droite.,7
Lui bayant la lettre ouverte.,10
Puis relevant la voix.,3
Il lui remet la lettre de Bégearss.,10
Il prend des billets dans une grosse liasse.,10
À Duval père.,12
AIR. Je ne veux point troubler votre ignorance.,8
AIR. ( Bergères de Maintenon. ),8
À Élisabeth.,12
Écrivant.,0
Phocas rentre.,5
Achas sort.,5
D'une voix forte.,3
AIR. Dormir est un temps perdu.,8
Se frappant la front.,1
À la Gouvernante.,12
Au jeune bramine.,12
À Chérubin.,12
À Laurette.,12
Elle s'enfuit dans son Cabinet.,5
À Céthégus et à Lentulus-Sura.,12
Quand il est parti.,5
Air,8
AIR : De la nécessité.,8
Elle lui donne à boire.,10
Air : Du matin au soir dans ce château.,8
"Alors Eve regardera avec empressement le fruit défendu, et dira :",0
Il lui montre des pierreries.,0
Osiris sort.,5
AIR : Tout roule aujourd'hui dans le monde.,8
Elle regarde à une de ses montres.,0
À Sosie.,12
Et puis regardant Constance.,0
Tenant l'enfant entre ses jambes.,10
Il se retire vers la cheminée.,7
Au vieil Arzémon.,12
On chante.,3
Montrant Roxelane.,0
À Brigitte.,12
Elle élève les mains vers le ciel.,0
Aux Clercs.,12
"Il est toujours aux genoux de Rosalie. En disant ces mots, il tombe la tête appuyée contre elle, et garde un moment le silence.",0
Laure entre sans te voir.,4
Le théâtre représente le bois de Boulogne.,11
Troisième Couplet.,8
"Il tire un grand papier de sa poche, où il y a de différentes écritures.",10
Elle lui fait voir le tableau des Jules.,0
Il chante ces derniers mots.,3
"Air : La bonne aventure, ô gué.",8
Au Sagamo.,12
Air : La bonne aventure.,8
À Elvire qu'il voit entrer.,12
ÀIR. Tout cela m'est indifférent.,8
"Tout le monde sort par le fond, excepté Kerkabon et le Huron.",5
Au savetier.,12
Elle lui jette un manteau sur les épaules. - Victorine se tient mal. - Riant aux éclats.,10
À Grand-Pierre.,12
À Alzire.,12
AIR : Du Port Mahon.,8
Il se dirige vers la porte par où est sortie Lucile.,11
Il le pose et lui touche l'épaule.,6
Il rit.,3
Il met ses gants avec précipitation.,10
Il lui montre la lettre que Frosine a prise à Flamand.,0
Il fouille de nouveau dans toutes ses poches.,0
"Il faut que l'Acteur s'approche avec passion de Zelmis ; prêt à la baiser sur la bouche, il se retient ; et après avoir résisté, il ajoute :",7
Toute cette scène est chantée.,3
"Il lève sa massue, s'avance sur Valcour qui met l'épée à la main.",1
"Il sort. Entre un précepteur avec le petit Salviati, et un autre avec le petit Strozzi.",5
Clermon s'enfuit.,5
À un Major qui entre.,12
Gilberte sort.,5
Il est bousculé.,6
"AIR : Non, je ne ferai pas.",8
Salomé se montre à l'entrée de la chambre.,4
Unissant leurs mains.,6
Air 119 : Mirlababibobette.,8
En montrant Corneille.,0
Elle l'enferme dans sa toilette.,10
Il sort avec Priscus.,5
Au Bordelais.,12
Il les lui donne.,10
Il prend Hernani à part.,6
"Le jeu de cette scène est que Lucie est impatiente, et que le Président attribue son impatience à la Présidente, qui l'écoute tranquillement.",9
