description|labelGeneric
Les laquais donnent des siégés, et l'on se place dans l'ordre indiqué au commencement de la scène ; Molière, Saint-Pol Saint-Evremont, et Delaunay restent debout.|setting
Elle s'assied.|action
Tout le monde se lève ; des laquais enlèvent les sièges ; on se groupe et on cause, pendant que Ninon vient sur le devant de la scène.|action
À part.|aparte
Parlant.|delivery
Elle continue de lire.|action
Elle froisse la lettre.|object
Il se retire au fond.|movement
Elle sort avec Madame de Coulanges et d'Estrées.|exit
Aux autres.|toward
Molière sort.|exit
Bas.|delivery
AIR : T'en souviens-tu.|music
AIR : Ne raillez pas la garde citoyenne.|music
Elle rit.|delivery
Haut.|delivery
Haut.|delivery
AIR de Théniers.|music
AIR : Amis, voici la riante semaine.|music
Haut.|delivery
Il lui baise la main.|interaction
Avec colère.|delivery
À part.|aparte
Haut.|delivery
À Saint- Pol.|toward
Saint-Pol baise sa main.|interaction
Longueville va se placer entre Madame de Saint-Pol et Molière.|movement
Ironiquement.|delivery
Elle a pris sur sa toilette la promesse de mariage, et la déchire en papillotes.|object
Elle s'approche de la Comtesse de Saint-Pol.|movement
Le théâtre représente un salon ; porte au fond, portes latérales.|setting
À part.|aparte
Sophie remonte la scène.|movement
Air : Je sais arranger des rubans.|music
Musique de M. Génot.|music
Il sort.|exit
Il montre un petit écrin.|action
Il lui offre l'écrin destiné à Madame_Dupré.|object
Air : Faisons la paix.|music
Laurence sort.|exit
À Ernest.|toward
Haut.|delivery
Air : T'en souviens-tu ?|music
Haut.|delivery
À Ernest.|toward
Air : À l'âge heureux de quatorze ans.|music
Air : Et voilà tout ce que j'ai fait.|music
À part.|aparte
Haut.|delivery
Le domestique sort.|exit
Air : Restez, restez, troupe jolie.|music
À part.|aparte
À part.|aparte
Air : Amis, voici la riante semaine.|music
À part.|aparte
Haut.|delivery
Sophie sort.|exit
Air : de l'Angélus.|music
Il sort.|exit
Regardant à travers la fenêtre.|action
Elle regarde par la fenêtre.|action
Elle sort par la porte latérale à droite.|exit
Air de Téniers.|music
À part.|aparte
Ernest les présente à Sophie.|action
À Laurence.|toward
Elle sort.|exit
Le théâtre représente un bosquet sacré qui environne Le Temple des Grâces ; les arbres et les fleurs du bosquet doivent être distribués avec goût, et orner la scène ; l'architecture du Temple, dont on voit le portique, doit être simple, mais élégante.|setting
À Aspasie.|toward
À part.|aparte
Haut.|delivery
Il lui prend la main.|interaction
Il est prêt de baiser la main d'Aspasie . puis il la quitte brusquement.|action
À part.|aparte
À Aspasie.|toward
À Phrosine.|toward
À Phrosine.|toward
En lui prenant la main.|interaction
À Phrosine.|toward
À Phrosine.|toward
À Aspasie.|toward
À Anaximandre.|toward
À Aspasie.|toward
Il lui baise la main.|interaction
Le Théâtre représente un salon de campagne.|setting
Il prélude.|delivery
Elle sort.|exit
Apercevant Chapelle.|action
Entre gravement, en chantant d'une manière bouffonne.|entrance
Il chante.|delivery
Ici Laforêt entre.|entrance
Tous sortent, excepté Chapelle et Laforêt.|exit
Pendant ce petit monologue de Laforêt, on apporte la table et le souper.|setting
Ils s'asseyent à table dans l'ordre suivant, en commençant par la droite : Molière, Chapelle, Mignard, Lulli, Despreaux, La Fontaine.|action
Il se lève de table.|action
Ils se remettent à table.|action
Elle sort.|exit
La Fontaine se tait un moment.|delivery
Voyant qu'elles s'expliquaient à moi sans aucun scrupule, je leur dis qu'encore qu'elles m'eussent commandé de les écouter sans interrompre leurs discours, que je ne pouvais m'empêcher de leur confesser qu'elles avaient assez bien défendu leur opinion, touchant l'amour qu'elles pouvaient avoir pour un seul objet ; mais qu'il fallait traiter de cet amour qu'on feint d'avoir pour plusieurs, toutefois en ressentir que pour soi-même.|narration
SONNET.|music
LETTRE EN VERS ET EN PROSE.|music
Je les interrompis, bien que j'eusse un extrême plaisir d'apprendre par leurs bouches tous les détours dont elles se servent, en leur disant que la nuit s'approchait, et qu'il fallait me retirer. Elles me demandèrent mon sentiment touchant leurs différentes humeurs : je voulus m'en excuser par l'heure qui semblait ne me pas donner le temps de m'expliquer ; mais elles me contraignirent d'en dire quelque chose. Je leur dis que je trouvais autant de satisfaction dans l'une que dans l'autre. Elles me répondirent, que ce n'était pas mon sentiment, et que je voulais par ce jugement ne désobliger personne ; mais que je pouvais en décider, sans appréhender de fâcher aucune des deux. Je leur dis encore la même chose ; et pour leur prouver que c'était ma pensée, je dis que quand j'aimais une prude, que je crois que la coquette était fort condamnable ; que depuis j'avais trouvé qu'elle avait ses agréments comme une autre, mais que véritablement il fallait faire un étrange saut. Iris répondit, qu'elle avait ouï dire à plusieurs ce que je disais, mais que je ne devais pas regarder l'effet que ces humeurs produisaient dans l'esprit des hommes, mais seulement le plaisir que les femmes en pouvaient receuoir.|narration
Je me levai, voyant bien qu'elles ne finiraient pas, si je ne finissais, et les priai de permettre de me retirer parce que l'heure m'invitait à le faire. Iris m'offrit une place dans son carrosse ; mais je la remerciai, de crainte de donner de la jalousie à Angélique. Je la conduisis jusqu'à la portière, où elle dit à Angélique ; je ne sais ce que Monsieur dira de moi, mais je me suis laissée conduire cette fois par votre prudence, et j'ai cru que puisque vous vous déclariez si facilement à lui, que je pouvais à votre exemple me déclarer aussi, et que vous le connaissiez pour galant homme. Angélique en l'embrassant, l'assura de ma discrétion, et luy souhaita le bonsoir. Je pris congé de toutes deux en même temps, et me retirai dans mon logis.|narration
Voilà le récit que vous avez souhaité de moi, vous y trouverez sans doute de quoi vous ennuyer, étant dénué des grâces de l'action, qui n'est pas un petit ornement à ces sortes d'Histoires ; mais prenez vous en à vous, et louez mon aveugle obéissance. Adieu.|narration
Alors Dieu invitera Adam à s'approcher et lui parlera en appuyant sur chaque mot :|movement
Alors Dieu montrera de la main le paradis à Adam, en disant :|action
Alors Dieu enverra dans le Paradis Adam et Ève, en disant :|setting
Le choeur chantera : Tulit ergo Dominas hominem. Alors, Dieu, étendant la main vers te paradis, dira :|delivery
Le choeur chantera : Dixit Dominât ad Adam. Alors Dieu montrera à Adam les arbres du paradis, en disant :|delivery
Puis il indiquera l'arbre dont le fruit est défendu, et dira :|action
Alors Adam lèvera la main et montrera le fruit défendu, en disant :|action
Alors il étendra la main vers le paradis :|action
Alors Eve regardera avec empressement le fruit défendu, et dira :|action
Alors Eve mangera une partie de la pomme, et dira à Adam :|action
Alors il regardera Eve, sa femme, et dira :|action
Alors Dieu se tournera vers Eve et lui dira, plein de courroux :|toward
Alors Dieu menacera te serpent, en disant :|delivery
Le Choeur chantera : In suâore vultus tui.|delivery
Alors viendra un ange, tout de blanc habillé, une épée flamboyante à la main, que Dieu placera à la porte du paradis, en lui disant :|entrance
Alors ils iront tous les deux vers un lieu retiré et presque caché, où Caïn, comme un furieux, se précipitera sur Abel avec l'intention de le tuer ; il lui dira :|aggression
Alors Dieu ira vers l'église. Des diables viendront après et entraîneront, en le bousculant, Caïn en enfer ; tandis qu'ils conduiront Abel avec beaucoup de ménagements. Alors les prophètes seront tenus tout prêts dans un lieu secret, suivant l'ordre dans lequel ils doivent paraître. Le choeur récitera : Vos inqum, etc. ; puis chaque prophète, préalablement appelé par son nom, s'avancera avec majesté et débitera ses prophéties d'une voix claire et nette. Abraham paraîtra le premier, sous la figure d'un vieillard à barbe longue, vêtu d'amples habits. Il s'assiéra quelques instants sur un banc, puis commencera à haute voix sa prophétie :|narration
(Gen. XXII, 17 et 18).|music
Alors un Juif, sortant de la synagogue, prendra à partie Isaïe et dira :|entrance
Il lui montrera alors sa main.|action
Le théâtre représente une chambre.|setting
À sa poupée.|toward
Le théâtre représente le bois de Boulogne.|setting
Elle frappe sur les oreilles de l'âne qui rue.|aggression
En parlant ainsi, Ninette ramasse des crottes de chèvres qui sont sur une petite butte le long du chemin.|object
Même décoration que le précédent.|setting
À Ninette.|toward
Le marchand s'approche pour prendre Ninette, qui lui donne un coup de houssine sur la figure. L'homme s'éloigne, en disant :|movement
Le paysan veut à son tour prendre Ninette ; mais l'âne, qui s'impatiente, commence à sauter et lancer des ruades à droite et à gauche. Le paysan, pour en éviter une dans le ventre, se retourne et la reçoit dans le derrière. Ninette, qui, pendant ce débat, n'a cessé de crier Maman ! pique son âne et se sauve en disant :|narration
Le théâtre représente toujours le bois de Boulogne, mais sur la pelouse devant le pavillon d'Armenonville.|setting
La première petite fille va à sa maman qui est assise devant le café y elle revient tout de suite avec la permission de jouer. Henri se rapproche.|movement
Ninette saisit le pantin, tire les cordes, mais elle ne peut pas le faire aller. La première petite Fille et Henri veulent lui indiquer comment il faut s'y prendre, elle les repousse.|narration
À la première petite-fille.|toward
Le singe se dispose à obéir. Ninette, qui est restée à l'écart, est tentée par la gaufre, et au moment où le singe grimpe à l'arbre tenant sa gaufre, elle se met en devoir de lui en prendre un morceau. L'animal défend sa proie, les enfants rient, le singe mord le doigt de Ninette.|narration
À part.|aparte
Il se redresse.|action
Elle sort un instant.|exit
Il boit.|action
Ils achèvent la bouteille, et Arlequin dit :|action
Elle ouvre sa porte.|action
Il lui arrache sa perruque.|aggression
En riant.|delivery
Nota. Pendant ce monologue, la toilette va toujours.|object
À demi-voix.|delivery
Aux trois Dames.|toward
Les Dames ne parlent pas.|delivery
Parlant presque toutes ensemble.|delivery
Les Dames se retirent.|exit
Le Marquis sort.|exit
Les Dames vont au-devant de lui.|movement
On s'assoit.|action
En montrant le Marquis.|action
On se lève.|action
Elle lui pose une couronne de laurier sur la tête.|object
Air : (chanté par une femme.)|music
Leur Dialogue finit ainsi ; après quoi ces Daines se retirèrent. Les Messïeurs les accompagnèrent jusques dans leur chambre, où Italmire chanta un air devant Alcippe. Il lui trouva la voix fort belle, mais elle était si mal conduite, qu'un Homme qui avait accoutumé d'entendre les voix les plus réglées, prenait plus de plaisir à regarder cette belle fille, qu'à l'entendre chanter. Clarice le tira en particulier, sous prétexte de lui en demander son sentiment ; mais c'était pour avoir le plaisir de causer avec lui pendant que les autres s'amusaient à ouïr parler Drionice.|narration
L'AMOUR, voyant que ses lois, qui avaient toujours été fort respectées de tout le monde, n'étaient plus en si grande considération, et que le pouvoir qu'il avait eu jusques ici sur les coeurs commençait à se diminuer, depuis que les Précieuses s'étaient introduites dans les compagnies, d'où elles avaient résolu de le bannir entièrement, entra dans une colère dont on n'eut jamais cru qu'un enfant eut été capable, et jura de se venger d'elles, à quelque prix que ce fut, et voulut même engager ses fidèles sujets en cette occasion, leur ordonnant de se déclarer ouvertement contre ces ennemies communes ; ce qui leur fit chercher un moyen de contenter leur petit Dieu, et crurent ne le pouvoir pas mieux faire qu'en les discréditant parmi le peuple, dépeignant dans un Almanach leurs figures grotesques et leurs belles occupations, ce qui fut aussi tôt fait.|narration
CHANSON.|music
En Sicile.|setting
À Damas.|setting
En Sicile.|setting
À Damas.|setting
En Sicile.|setting
À Damas.|setting
Il essaie de s'endormir.|action
En Sicile.|setting
À Damas.|setting
En Sicile.|setting
Ici on pend Robert.|interaction
Il chante|delivery
Il chante|delivery
Il sort.|exit
À La Fleur qui rentre avec la robe de chambre.|toward
Voyant que Sophie paraît vouloir se lever.|action
À la Fleur.|toward
La Fleur sort.|exit
En ouvrant la lettre.|action
Il lit.|action
Il continue.|delivery
Adoncq il monstre une anguille au lieu d'une couleuvre, et dit|action
Il frappe.|aggression
Elle sort.|exit
Elle sort.|exit
À Melpomène.|toward
À Thalie.|toward
Aux Muses.|toward
Haut.|delivery
Il lit.|action
Il lit.|action
Il chante.|delivery
Il rencontre Des Accents.|entrance
Haut.|delivery
Il sort.|exit
Haut.|delivery
Elle pleure.|delivery
Elle pleure.|delivery
Il sort.|exit
Aux Muses.|toward
Air : Des simples jeux de son enfance.|music
Second Couplet.|music
Troisième Couplet.|music
Il lui donne un écu.|object
À part.|aparte
Air : Une jeune Pucelle, etc.|music
Second couplet.|music
Troisième couplet.|music
Quatrième couplet.|music
Cinquième couplet.|music
Air : De la Romance de Daphné.|music
Second couplet.|music
Troisième couplet.|music
Quatrième couplet.|music
Louis ne voit les Cavaliers que lorsqu'ils parlent.|action
Air : Menuet d'Exaudet.|music
Louis se lève.|action
En montrant le sac.|action
Serre-fort remplit et referme le sac.|object
Il pleure.|delivery
Ils s'approchent de lui.|movement
Air : De la petite Poste.|music
Second couplet.|music
Troisième couplet.|music
Quatrième couplet.|music
À Louis.|toward
Louis reçoit les six francs.|object
Air : La jeune Annette.|music
Second Couplet.|music
Ils répètent.|music
Troisième Couplet.|music
Dumont, à Louis.|toward
Ils répètent.|music
- Longin prit la lance, et frappa Jésus au coeur. Il en sortit du sang et de l'eau qui lui coulèrent sur les mains, et lui mouillèrent la face ; et quand il porta les doigts à ses yeux, qui ne lui avaient jamais fait voir que des ténèbres, il dit :|aggression
- Là-dessus il s'agenouille en pleurant, et dit tout doucement une oraison. Les chevaliers retournèrent vers Pilate, et lui parlèrent de la sorte :|action
Quand il furent arrivés à la geôle, ils lui parlèrent ainsi :|setting
Durant cela, Joseph le prud'homme s'était rendu près de Nicodème.|movement
- Tous deux s'en vont donc à Pilate, accompagnés de deux valets portant, l'un des outils, l'autre la boîte qui renferme les parfums pour l'embaumement. -|movement
- Quand ils vinrent devant la croix, Joseph à haute voix : -|setting
- Pendant qu'on lui baille l'onguent, Nicomède dit tout haut.|object
Là-dessus un des sergents se leva, et parla ainsi à Pilate :|action
- Trois des autres soldats se levèrent, et parlèrent ainsi au premier :|action
FIN DE LA TRADUCTION.|music
DÉCORATION DU PREMIER ACTE. L'AURORE. Vaste terrain, inégal, bords d'arbres de l'Amérique. À droite, sur levant-Scène, tronc d'arbre qui supporte un trophée d'arcs, de flèches et de casse-têtes. À gauche vis-à-vis, fontaine jaillissante d'un rocher, où sont suspendus des rames, des calumets et des coquillages. Au centre, pierre triangulaire, haute de deux pieds. Dans le fonds, montagne à gauche, vaste horizon à droite. Le village de Chérokis, situé au pied de la montagne s'élève de gauche à droite. Calumet de guerre, rouge orné de plumes noires.|setting
Au Soleil.|toward
On entend dans le lointain des cris et une marche militaire.|delivery
Aux Chéròkis.|toward
Guerriers Chérokis nus, ceintures de palmes, arcs, carquois, casse-tête, défilent trois à trois de la droite, et s'y développent sur une ligne. Sitôt qu'il s'ils sont formés, ceux de ma gauche, poussant un cri, sortent en mesure, sur une seule ligne, entre les arbres, la hache levée. Les armes tombent ; ils reconnaissent leurs frères. Alphanor et ses Illinois se placent devant le trophée de la droite : quatre Guerriers Illinois portent le corps d'Artamon, couvert de fourrures et de branches de cyprès, et le posent sur la pierre du centre. Les Chérokis de la gauche et de la droite se rangent et le dérobent à la vue des spectateurs. Louise et Florida arment du côté de la fontaine.|object
À Idamir.|toward
QUATUOR.|music
À part.|toward
Bas.|delivery
Il se fait un mouvement ; pour conduire les Illinois au supplice.|interaction
DÉCORATION de L'ACTE SECOND. Dans le lointain, deux montagnes, l'une chauve, l'autre d'une belle verdure, et laissant échapper une source du sommet. Entre elles, le fleuve Ohio tombe avec bruit d'une cascade effrayante. Un pont de lianes élastiques, joint au-dessus les deux montagnes. Au pied de l'Ohio, quelques pirogues : ce fleuve couvre la plaine et borde le fonds du Théâtre, qui est en gazon. À la droite du fleuve, a mi-coteau, une cabane appuyée contre un rocher qui pose sur une pointe à terre ; sa partie supérieure évasée, sert de cuvette à un ruisseau qui se précipite dans l'Ohio. Près de l'avant-scène, une statue du Mars des Américains, d'Areski sur un piédestal orné de pelleteries. À la gauche plus reculé, le tombeau d'Artamon en gazon et orné de fleurs ; le trophée de ses armes sur le dessus ; et au côté, une large pierre gravée d'hiéroglyphes.|setting
Elle se prosterne.|action
À Florìda.|toward
À sa mère.|toward
Idamir et Florida aux pieds de Louise.|action
Ils sortent.|exit
Les Osages portent d'énormes casse-têtes ; leurs cheveux peints en rouge sont entrelacés de plumes jaunes et noires. Des serpents et des peaux de tigres leurs servent de ceintures-carquois, d'écorce d'arbre, arcs et boucliers, avec la figure Dareski.|object
Aux Osages.|toward
Il lit.|action
Il montre celle qui est sur le tombeau d'Artamon.|action
MÊME DÉCORATION de lieu qu'au second Acte.|setting
COSTUMES. IDAMIR. Bleu céleste et or à bandes, carquois d'or, pennons de flèches, blancs. OTAMBO. Blanc et pourpre; bonnet de peau blanche, orné de plumes blanches ; soleil d'or fur la poitrine, soutenu par un collier de coquillage ; bâton d'or, surmonté d'un soleil. ESRAIM. Bleu céleste, avec des fleurs ; carquois d'argent ; pennons de flèches bleues. LOUIS. Blanc, et feuilles de peuplier ; cheveux épars ; ceinture herminée ; collier de coquillages blancs et roses. FLORIDA. Argent et rose à bandes ; cheveux entrelacés de plumes blanches ; couronne de roses ; collier et pendants de coquillages roses et blancs ; bras nus, ornés de coquillages noirs. KOAHOEE. Peau, de marthe ; carquois de bois de dentelle, garni d'argent ; pennons de flèches roses ; calumet de corail, orné de plumes, de fleurs et de coquillages. VIEILLARDS. Comme Otambo, excepté le soleil, et à la place du bâton d'or, un bâton blanc. FEMMES. Rose et blanc ; cheveux entrelacés de plumes roses ; couronnes de fleurs blanches ; bouquets d'une main, et portant une longue guirlande. ILLINOIS. Comme Roanoke, excepté l'argent et le calumet ; des javelots. CHÉROKIS. Comme Idamir ou Esraim, excepté l'or et l'argent des javelots. On voit des Chérokis dans des pirogues, aborder le rivage. Ils remplissent le fonds du théâtre, et la droite et la gauche du fonds. Otambo est fur le premier degré du tombeau, ayant douze Vieillards à ses cotés.|object
Avec enthousiasme.|delivery
On fait la chaîne des mains.|interaction
Il les enlace dans une guirlande de fleurs à mit leurs mains.|object
Des Osages empilent leurs casse-têtes devant la statue d'Ariski, et préparent le bûcher.|object
Avec férocité.|delivery
À Alphanor.|toward
Au Peuple.|toward
Montrant les Osages.|action
Idamir et Otambo se donnent la main.|interaction
À Altemar.|toward
Le Théâtre représente la salle d'un bordel, dans laquelle Alcibiade est introduit par son confident.|setting
À Band'alaise.|toward
Il sort.|exit
Aux putains.|toward
À Godemichi.|toward
Elle sort.|exit
VENDE qui s'était écartée de la Cour, est avertie d'y retourner par un seigneur de la part de son Père : ce qu'elle fait, non sans pressentiment du malheur qui lui est arrivé.|narration
Entrant dans son Palais, elle le trouve mort sur son lit de parade ; ses douleurs éclatent incontinent par les plaintes et ses lamentations, mais la violence de ses pleurs la tire aussi tôt dans la faiblesse. Elle est secourue par la Princesse sa confidente, revient de pâmoison et demande, qu'on la laisse en repos.|narration
Tandis que les Princes de sa Cour s'entretiennent de l'ordre : qu'il faut apporter aux affaires de la Maison Royale, et des moyens nécessaires pour apaiser la douleur de cette Princesse.|narration
Ils sont interrompus par l'arrivée tumultuaire du peuple, qui veut la Fille de son Roi pour sa Reine témoignant son impatience jusques à ce qu'on lui promette d'exécuter son dessein.|narration
L'on députe pour cet effet ses oncles vers elle pour lui faire savoir la résolution de ses sujets, quelle refuse d'entendre jusques à ce que l'ombre de son père lui ayant apparu, l'oblige de se rendre à l'instance obstinée de son peuple.|narration
Les Seigneurs en doute quelle fera la fin des troubles suscités par le Peuple, sont assemblés avec les Princes du Royaume pour délibérer sur la demande. Et après avoir conclu en faveur de la Fille de leur Roi.|narration
Se trouvent encore pressés par le Peuple auquel il donne des réponses à son gré.|narration
Cependant VENDE, qui avait été mandée, survient après les acclamations du peuple, elle commande à son Chancelier de déclarer ses intentions à l'Assemblée.|narration
Les délibérations des Princes, qui s'ensuivirent pour ce sujet, furent interrompues par une querelle qui s'allait vivement allumer entre l'oncle paternel de la Reine et Horuestat ; puissant Prince dans le Royaume, sans la prudence de Leque, qui en assoupit les premiers feux.|narration
Tout étant apaisé, on répond aux importunités du peuple que ses voeux font accomplis, et Vende elle même donne en la présence de ses sujets consentement pour son élection.|narration
Elle est donc pompeusement conduite dans le Palais Royal, où Ritiger Duc des Saxons, se trouve à l'inconnu ; mais où il conçoit une flamme, qui ne le fera que trop tôt reconnaître pour son malheur. Le Grand Pontife qui l'attend lui déclare les devoirs d'une Reine, lui fait prêter le serment accoutumé.|narration
Les Cérémonies de son Couronnement se terminent par la congratulation de son Peuple, et des Génies des principales Provinces de son Royaume.|narration
RITIGER, que l'Amour à charmé dans le Palais de Vende, se plaint de ses rigueurs, il recherche les moyens de les alléger par les demandes qu'il fait de la Reine.|narration
Quoi qu'il soit chez elle, il feint par une ambassade d'être éloigné, son Ambassadeur la trouve avec la Princesse sa Favorite s'entretenant de sa résolution qu'elle a faite, de ne partager par aucun mariage l'autorité de son Royaume.|narration
Lui déclare les recherches de son Prince.|narration
Pendant qu'elle assemble son conseil sur ce sujet, il semble qu'elle balance encore étant seule, si sans crime elle peut répondre aux inclinations de ce Prince, quoi qu'après y avoir pensé, elle demeure en sa première résolution.|narration
Ritiger pressé de son Amour, accuse la paresse de son Ambassadeur, il arrive sur ces entrefaits, il lui promet tout avec avantage, ou il ne trouvera rien qui réponde à son Amour, car la réponse de la Reine toute contraire à ses paroles, ne sert que pour accroître le désespoir de Ritiger, à qui l'on conseille de ne pas abandonner la partie pour ce premier refus, mais d'user de sa l'adresse d'un savant Magicien, qu'il fait soigneusement rechercher.|narration
Tandis que la Reine, par la bouche de ses oncles, exhorte les Princes de sa Cour ; à repousser par leur vertu la violence de Ritiger.|narration
Dont le Duc Dessau son frère, ne peut supporter la folle passion et lui représente, les extrémités où il se laisse engager par son amour.|narration
Mais ses avertissements n'ont point eu place dans un coeur passionné : au contraire, l'arrivée du Magicien anime sa fureur, lorsqu'il luy donne une bague qui fondra la glace du Coeur de cette Grande Reine, si elle peut être mise dans son doigt. Il l'envoie par un second Ambassade.|narration
UN des Oncles de la Reine l'assure de la résolution des Princes pour sa défense.|narration
Au même temps les Ambassadeurs de Ritiger redoublent leur demande, mais non pas avec un meilleur succès que la première fois ; sinon que par une adresse secrète ils laissent leur bague dans le Palais de cette Reine.|narration
Mais le Duc Dessau impatient de la perte de son Frère, se résout de s'opposer à ses desseins.|narration
